"ID","Poet","Poetry"
"89","akbar-allahabadi","na hāsil huā sabr-o-ārām dil kā 
na niklā kabhī tum se kuchh kaam dil kā 
mohabbat kā nashsha rahe kyuuñ na har-dam 
bharā hai mai-e-ishq se jaam dil kā 
phañsāyā to āñkhoñ ne dām-e-balā meñ 
magar ishq meñ ho gayā naam dil kā 
huā ḳhvāb rusvā ye ishq-e-butāñ meñ 
ḳhudā hī hai ab mere badnām dil kā 
ye bāñkī adā.eñ ye tirchhī nigāheñ 
yahī le ga.iiñ sabr-o-ārām dil kā 
dhuāñ pahle uThtā thā āġhāz thā vo 
huā ḳhaak ab ye hai anjām dil kā 
jab āġhāz-e-ulfat hī meñ jal rahā hai 
to kyā ḳhaak batlā.ūñ anjām dil kā 
ḳhudā ke liye pher do mujh ko sāhab 
jo sarkār meñ kuchh na ho kaam dil kā 
pas-e-marg un par khulā hāl-e-ulfat 
ga.ī le ke ruuh apnī paiġhām dil kā 
taḌaptā huā yuuñ na paayā hamesha 
kahūñ kyā maiñ āġhāz-o-anjām dil kā 
dil us be-vafā ko jo dete ho 'akbar' 
to kuchh soch lo pahle anjām dil kā"
"90","akbar-allahabadi","na rūh-e-maz.hab na qalb-e-ārif na shā.irāna zabān baaqī 
zamīñ hamārī badal ga.ī hai agarche hai āsmān baaqī 
shab-e-guzishta ke saaz o sāmāñ ke ab kahāñ haiñ nishān baaqī 
zabān-e-shama-e-sahar pe hasrat kī rah ga.ī dāstān baaqī 
jo zikr aatā hai āḳhirat kā to aap hote haiñ saaf munkir 
ḳhudā kī nisbat bhī dekhtā huuñ yaqīn ruḳhsat gumān baaqī 
fuzūl hai un kī bad-dimāġhī kahāñ hai fariyād ab laboñ par 
ye vaar par vaar ab abas haiñ kahāñ badan meñ hai jaan baaqī 
maiñ apne miTne ke ġham meñ nālāñ udhar zamāna hai shaad o ḳhandāñ 
ishāra kartī hai chashm-e-daurāñ jo aan baaqī jahān baaqī 
isī liye rah ga.ī haiñ āñkheñ ki mere miTne kā rañg dekheñ 
sunūñ vo bāteñ jo hosh uḌā.eñ isī liye haiñ ye kaan baaqī 
ta.ajjub aatā hai tifl-e-dil par ki ho gayā mast-e-nazm-e-'akbar' 
abhī middle paas tak nahīñ hai bahut se haiñ imtihān baaqī"
"91","akbar-allahabadi","phir ga.ī aap kī do din meñ tabī.at kaisī 
ye vafā kaisī thī sāhab ye muravvat kaisī 
dost ahbāb se hañs bol ke kaT jā.egī raat 
rind-e-āzād haiñ ham ko shab-e-furqat kaisī 
jis hasīñ se huī ulfat vahī ma.ashūq apnā 
ishq kis chiiz ko kahte haiñ tabī.at kaisī 
hai jo qismat meñ vahī hogā na kuchh kam na sivā 
aarzū kahte haiñ kis chiiz ko hasrat kaisī 
haal khultā nahīñ kuchh dil ke dhaḌakne kā mujhe 
aaj rah rah ke bhar aatī hai tabī.at kaisī 
kūcha-e-yār meñ jaatā to nazāra kartā 
qais āvāra hai jañgal meñ ye vahshat kaisī"
"92","akbar-allahabadi","rañg-e-sharāb se mirī niyyat badal ga.ī 
vaa.iz kī baat rah ga.ī saaqī kī chal ga.ī 
tayyār the namāz pe ham sun ke zikr-e-hūr 
jalva butoñ kā dekh ke niyyat badal ga.ī 
machhlī ne Dhiil paa.ī hai luqme pe shaad hai 
sayyād mutma.in hai ki kāñTā nigal ga.ī 
chamkā tirā jamāl jo mahfil meñ vaqt-e-shām 
parvāna be-qarār huā sham.a jal ga.ī 
uqbā kī bāz-purs kā jaatā rahā ḳhayāl 
duniyā kī lazzatoñ meñ tabī.at bahal ga.ī 
hasrat bahut taraqqī-e-duḳhtar kī thī unheñ 
parda jo uTh gayā to vo āḳhir nikal ga.ī"
"93","akbar-allahabadi","saañs lete hue bhī Dartā huuñ 
ye na samjheñ ki aah kartā huuñ 
bahr-e-hastī meñ huuñ misāl-e-habāb 
miT hī jaatā huuñ jab ubhartā huuñ 
itnī āzādī bhī ġhanīmat hai 
saañs letā huuñ baat kartā huuñ 
shaiḳh sāhab ḳhudā se Darte hoñ 
maiñ to añgrezoñ hī se Dartā huuñ 
aap kyā pūchhte haiñ merā mizāj 
shukr allāh kā hai martā huuñ 
ye baḌā aib mujh meñ hai 'akbar' 
dil meñ jo aa.e kah guzartā huuñ"
"94","akbar-allahabadi","sheḳh ne nāqūs ke sur meñ jo ḳhud hī taan lī 
phir to yāroñ ne bhajan gaane kī khul kar Thaan lī 
muddatoñ qaa.im raheñgī ab diloñ meñ garmiyāñ 
maiñ ne photo le liyā us ne nazar pahchān lī 
ro rahe haiñ dost merī laash par be-iḳhtiyār 
ye nahīñ daryāft karte kis ne is kī jaan lī 
maiñ to engine kī gale-bāzī kā qaa.il ho gayā 
rah ga.e naġhme hudī-ḳhvānoñ ke aisī taan lī 
hazrat-e-'akbar' ke istiqlāl kā huuñ mo'tarif 
ta-ba-marg us par rahe qaa.im jo dil meñ Thaan lī"
"95","akbar-allahabadi","tarīq-e-ishq meñ mujh ko koī kāmil nahīñ miltā 
ga.e farhād o majnūñ ab kisī se dil nahīñ miltā 
bharī hai anjuman lekin kisī se dil nahīñ miltā 
hamīñ meñ aa gayā kuchh naqs yā kāmil nahīñ miltā 
purānī raushnī meñ aur na.ī meñ farq itnā hai 
use kashtī nahīñ miltī ise sāhil nahīñ miltā 
pahuñchnā daad ko mazlūm kā mushkil hī hotā hai 
kabhī qaazī nahīñ milte kabhī qātil nahīñ miltā 
harīfoñ par ḳhazāne haiñ khule yaañ hijr-e-gesū hai 
vahāñ pe bil hai aur yaañ saañp kā bhī bil nahīñ miltā 
ye husn o ishq hī kā kaam hai shubah kareñ kis par 
mizāj un kā nahīñ miltā hamārā dil nahīñ miltā 
chhupā hai siina o ruḳh dil-sitāñ hāthoñ se karvaT meñ 
mujhe sote meñ bhī vo husn se ġhāfil nahīñ miltā 
havās-o-hosh gum haiñ bahr-e-irfān-e-ilāhī meñ 
yahī dariyā hai jis meñ mauj ko sāhil nahīñ miltā 
kitāb-e-dil mujhe kaafī hai 'akbar' dars-e-hikmat ko 
maiñ spencer se mustaġhnī huuñ mujh se mil nahīñ miltā"
"96","akbar-allahabadi","tirī zulfoñ meñ dil uljhā huā hai 
balā ke pech meñ aayā huā hai 
na kyūñkar bū-e-ḳhūñ naame se aa.e 
usī jallād kā likkhā huā hai 
chale duniyā se jis kī yaad meñ ham 
ġhazab hai vo hameñ bhūlā huā hai 
kahūñ kyā haal aglī ishratoñ kā 
vo thā ik ḳhvāb jo bhūlā huā hai 
jafā ho yā vafā ham sab meñ ḳhush haiñ 
kareñ kyā ab to dil aTkā huā hai 
huī hai ishq hī se husn kī qadr 
hamīñ se aap kā shohrā huā hai 
butoñ par rahtī hai maa.il hamesha 
tabī.at ko ḳhudāyā kyā huā hai 
pareshāñ rahte ho din raat 'akbar' 
ye kis kī zulf kā saudā huā hai"
"97","akbar-allahabadi","ummīd TuuTī huī hai merī jo dil mirā thā vo mar chukā hai 
jo zindagānī ko talḳh kar de vo vaqt mujh par guzar chukā hai 
agarche siine meñ saañs bhī hai nahīñ tabī.at meñ jaan baaqī 
ajal ko hai der ik nazar kī falak to kaam apnā kar chukā hai 
ġharīb-ḳhāne kī ye udāsī ye nā-durustī nahīñ qadīmī 
chahal pahal bhī kabhī yahāñ thī kabhī ye ghar bhī sañvar chukā hai 
ye siina jis meñ ye daaġh meñ ab masarratoñ kā kabhī thā maḳhzan 
vo dil jo armān se bharā thā ḳhushī se us meñ Thahar chukā hai 
ġharīb akbar ke gard kyuuñ meñ ḳhayāl vaa.iz se koī kah de 
use Darāte ho maut se kyā vo zindagī hī se Dar chukā hai"
"98","akbar-allahabadi","unheñ nigāh hai apne jamāl hī kī taraf 
nazar uThā ke nahīñ dekhte kisī kī taraf 
tavajjoh apnī ho kyā fann-e-shā.irī kī taraf 
nazar har ek kī jaatī hai aib hī kī taraf 
likhā huā hai jo ronā mire muqaddar meñ 
ḳhayāl tak nahīñ jaatā kabhī hañsī kī taraf 
tumhārā saaya bhī jo log dekh lete haiñ 
vo aañkh uThā ke nahīñ dekhte parī kī taraf 
balā meñ phañstā hai dil muft jaan jaatī hai 
ḳhudā kisī ko na le jaa.e us galī kī taraf 
kabhī jo hotī hai takrār ġhair se ham se 
to dil se hote ho dar-parda tum usī kī taraf 
nigāh paḌtī hai un par tamām mahfil kī 
vo aañkh uThā ke nahīñ dekhte kisī kī taraf 
nigāh us but-e-ḳhud-bīñ kī hai mire dil par 
na aa.ine kī taraf hai na aarsī kī taraf 
qubūl kījiye lillāh tohfa-e-dil ko 
nazar na kījiye is kī shikastagī kī taraf 
yahī nazar hai jo ab qātil-e-zamāna huī 
yahī nazar hai ki uThtī na thī kisī kī taraf 
ġharīb-ḳhāna meñ lillāh do-ghaḌī baiTho 
bahut dinoñ meñ tum aa.e ho is galī kī taraf 
zarā sī der hī ho jā.egī to kyā hogā 
ghaḌī ghaḌī na uThāo nazar ghaḌī kī taraf 
jo ghar meñ pūchhe koī ḳhauf kyā hai kah denā 
chale ga.e the Tahalte hue kisī kī taraf 
hazār jalva-e-husn-e-butāñ ho ai 'akbar' 
tum apnā dhyān lagā.e raho usī kī taraf"
"99","akbar-allahabadi","vo havā na rahī vo chaman na rahā vo galī na rahī vo hasīñ na rahe 
vo falak na rahā vo samāñ na rahā vo makāñ na rahe vo makīñ na rahe 
vo guloñ meñ guloñ kī sī bū na rahī vo azīzoñ meñ lutf kī ḳhū na rahī 
vo hasīnoñ meñ rañg-e-vafā na rahā kaheñ aur kī kyā vo hamīñ na rahe 
na vo aan rahī na umañg rahī na vo rindī o zohd kī jañg rahī 
sū-e-qibla nigāhoñ ke ruḳh na rahe aur dar pe naqsh-e-jabīñ na rahe 
na vo jaam rahe na vo mast rahe na fidā.i-e-ahd-e-alast rahe 
vo tarīqa-e-kār-e-jahāñ na rahā vo mashāġhil-e-raunaq-e-dīñ na rahe 
hameñ laakh zamāna lubhā.e to kyā na.e rañg jo charḳh dikhā.e to kyā 
ye muhāl hai ahl-e-vafā ke liye ġham-e-millat o ulfat-e-dīñ na rahe 
tire kūcha-e-zulf meñ dil hai mirā ab use maiñ samajhtā huuñ dām-e-balā 
ye ajiib sitam hai ajiib jafā ki yahāñ na rahe to kahīñ na rahe 
ye tumhāre hī dam se hai bazm-e-tarab abhī jaao na tum na karo ye ġhazab 
koī baiTh ke lutf uThā.egā kyā ki jo raunaq-e-bazm tumhīñ na rahe 
jo thiiñ chashm-e-falak kī bhī nūr-e-nazar vahī jin pe nisār the shams o qamar 
so ab aisī miTī haiñ vo anjuman.en ki nishān bhī un ke kahīñ na rahe 
vahī sūrateñ rah ga.iiñ pesh-e-nazar jo zamāne ko phereñ idhar se udhar 
magar aise jamāl-e-jahāñ-ārā jo the raunaq-e-rū-e-zamīñ na rahe 
ġham o rañj meñ 'akbar' agar hai ghirā to samajh le ki rañj ko bhī hai fanā 
kisī shai ko nahīñ hai jahāñ meñ baqā vo ziyāda malūl o hazīñ na rahe"
"100","akbar-allahabadi","zid hai unheñ puurā mirā armāñ na kareñge 
muñh se jo nahīñ niklī hai ab haañ na kareñge 
kyuuñ zulf kā bosa mujhe lene nahīñ dete 
kahte haiñ ki vallāh pareshāñ na kareñge 
hai zehan meñ ik baat tumhāre muta.alliq 
ḳhalvat meñ jo pūchhoge to pinhāñ na kareñge 
vaa.iz to banāte haiñ musalmān ko kāfir 
afsos ye kāfir ko musalmāñ na kareñge 
kyuuñ shukr-guzārī kā mujhe shauq hai itnā 
suntā huuñ vo mujh par koī ehsāñ na kareñge 
dīvāna na samjhe hameñ vo samjhe sharābī 
ab chaak kabhī jeb o garebāñ na kareñge 
vo jānte haiñ ġhair mire ghar meñ hai mehmāñ 
ā.eñge to mujh par koī ehsāñ na kareñge"
"101","allama-iqbal","ālam-e-āb-o-ḳhāk-o-bād sirr-e-ayāñ hai tū ki maiñ 
vo jo nazar se hai nihāñ us kā jahāñ hai tū ki maiñ 
vo shab-e-dard-o-soz-o-ġham kahte haiñ zindagī jise 
us kī sahar hai tū ki maiñ us kī azaañ hai tū ki maiñ 
kis kī numūd ke liye shaam o sahar haiñ garm-e-sair 
shāna-e-rozgār par bār-e-girāñ hai tū ki maiñ 
tū kaf-e-ḳhāk o be-basar maiñ kaf-e-ḳhāk o ḳhud-nigar 
kisht-e-vajūd ke liye āb-e-ravāñ hai tū ki maiñ"
"102","allama-iqbal","aflāk se aatā hai nāloñ kā javāb āḳhir 
karte haiñ ḳhitāb āḳhir uThte haiñ hijāb āḳhir 
ahvāl-e-mohabbat meñ kuchh farq nahīñ aisā 
soz o tab-o-tāb avval soz o tab-o-tāb āḳhir 
maiñ tujh ko batātā huuñ taqdīr-e-umam kyā hai 
shamshīr-o-sināñ avval tā.ūs-o-raubāb āḳhir 
mai-ḳhāna-e-europe ke dastūr nirāle haiñ 
laate haiñ surūr avval dete haiñ sharāb āḳhir 
kyā dabdaba-e-nādir kyā shaukat-e-taimūrī 
ho jaate haiñ sab daftar ġharq-e-mai-e-nāb āḳhir 
ḳhalvat kī ghaḌī guzrī jalvat kī ghaḌī aa.ī 
chhuTne ko hai bijlī se āġhosh-e-sahāb āḳhir 
thā zabt bahut mushkil is sail-e-ma.ānī kā 
kah Daale qalandar ne asrār-e-kitāb āḳhir"
"103","allama-iqbal","agar kaj-rau haiñ anjum āsmāñ terā hai yā merā 
mujhe fikr-e-jahāñ kyuuñ ho jahāñ terā hai yā merā 
agar hañgāma-hā-e-shauq se hai lā-makāñ ḳhālī 
ḳhatā kis kī hai yā rab lā-makāñ terā hai yā merā 
use sub.h-e-azal inkār kī jur.at huī kyūñkar 
mujhe mālūm kyā vo rāz-dāñ terā hai yā merā 
mohammad bhī tirā jibrīl bhī qur.ān bhī terā 
magar ye harf-e-shīrīñ tarjumāñ terā hai yā merā 
isī kaukab kī tābānī se hai terā jahāñ raushan 
zavāl-e-ādam-e-ḳhākī ziyāñ terā hai yā merā"
"104","allama-iqbal","anokhī vaz.a hai saare zamāne se nirāle haiñ 
ye āshiq kaun sī bastī ke yā-rab rahne vaale haiñ 
ilāj-e-dard meñ bhī dard kī lazzat pe martā huuñ 
jo the chhāloñ meñ kāñTe nok-e-sozan se nikāle haiñ 
phalā-phūlā rahe yā-rab chaman merī umīdoñ kā 
jigar kā ḳhuun de de kar ye buuTe maiñ ne paale haiñ 
rulātī hai mujhe rātoñ ko ḳhāmoshī sitāroñ kī 
nirālā ishq hai merā nirāle mere naale haiñ 
na pūchho mujh se lazzat ḳhānamāñ-barbād rahne kī 
nasheman saikḌoñ maiñ ne banā kar phūñk Daale haiñ 
nahīñ begānagī achchhī rafīq-e-rāh-e-manzil se 
Thahar jā ai sharar ham bhī to āḳhir miTne vaale haiñ 
umīd-e-hūr ne sab kuchh sikhā rakkhā hai vaa.iz ko 
ye hazrat dekhne meñ sīdhe-sādhe bhole bhāle haiñ 
mire ash.ār ai 'iqbāl' kyuuñ pyāre na hoñ mujh ko 
mire TuuTe hue dil ke ye dard-añgez naale haiñ"
"105","allama-iqbal","apnī jaulāñ-gāh zer-e-āsmāñ samjhā thā maiñ 
aab o gil ke khel ko apnā jahāñ samjhā thā maiñ 
be-hijābī se tirī TuuTā nigāhoñ kā tilism 
ik ridā-e-nīl-gūñ ko āsmāñ samjhā thā maiñ 
kārvāñ thak kar fazā ke pech-o-ḳham meñ rah gayā 
mehr o maah o mushtarī ko ham-ināñ samjhā thā maiñ 
ishq kī ik jast ne tai kar diyā qissa tamām 
is zamīn o āsmāñ ko be-karāñ samjhā thā maiñ 
kah ga.iiñ rāz-e-mohabbat parda-dārī-hā-e-shauq 
thī fuġhāñ vo bhī jise zabt-e-fuġhāñ samjhā thā maiñ 
thī kisī darmāñda rah-rau kī sadā-e-dardnāk 
jis ko āvāz-e-rahīl-e-kārvāñ samjhā thā maiñ"
"106","allama-iqbal","aql go āstāñ se duur nahīñ 
us kī taqdīr meñ huzūr nahīñ 
dil-e-bīnā bhī kar ḳhudā se talab 
aañkh kā nuur dil kā nuur nahīñ 
ilm meñ bhī surūr hai lekin 
ye vo jannat hai jis meñ huur nahīñ 
kyā ġhazab hai ki is zamāne meñ 
ek bhī sāhib-e-surūr nahīñ 
ik junūñ hai ki bā-shu.ūr bhī hai 
ik junūñ hai ki bā-shu.ūr nahīñ 
nā-subūrī hai zindagī dil kī 
aah vo dil ki nā-subūr nahīñ 
be-huzūrī hai terī maut kā raaz 
zinda ho tū to be-huzūr nahīñ 
har guhar ne sadaf ko toḌ diyā 
tū hī āmāda-e-zuhūr nahīñ 
arinī maiñ bhī kah rahā huuñ magar 
ye hadīs-e-kalīm-o-tūr nahīñ"
"107","allama-iqbal","asar kare na kare sun to le mirī fariyād 
nahīñ hai daad kā tālib ye banda-e-āzād 
ye musht-e-ḳhāk ye sarsar ye vus.at-e-aflāk 
karam hai yā ki sitam terī lazzat-e-ījād 
Thahar sakā na havā-e-chaman meñ ḳhema-e-gul 
yahī hai fasl-e-bahārī yahī hai bād-e-murād 
qusūr-vār ġharīb-ud-dayār huuñ lekin 
tirā ḳharāba farishte na kar sake ābād 
mirī jafā-talabī ko duā.eñ detā hai 
vo dasht-e-sāda vo terā jahān-e-be-buniyād 
ḳhatar-pasand tabī.at ko sāzgār nahīñ 
vo gulsitāñ ki jahāñ ghaat meñ na ho sayyād 
maqām-e-shauq tire qudsiyoñ ke bas kā nahīñ 
unhīñ kā kaam hai ye jin ke hausle haiñ ziyād"
"108","allama-iqbal","DhūñD rahā hai farañg aish-e-jahāñ kā davām 
vā-e-tamannā-e-ḳhām vā-e-tamannā-e-ḳhām 
pīr-e-haram ne kahā sun ke merī rūedād 
puḳhta hai terī fuġhāñ ab na ise dil meñ thaam 
thā arenī go kalīm maiñ arenī go nahīñ 
us ko taqāzā ravā mujh pe taqāzā harām 
garche hai ifshā-e-rāz ahl-e-nazar kī fuġhāñ 
ho nahīñ saktā kabhī sheva-e-rindāna aam 
halqa-e-sūfī meñ zikr be-nam o be-soz-o-sāz 
maiñ bhī rahā tishna-kām tū bhī rahā tishna-kām 
ishq tirī intihā ishq mirī intihā 
tū bhī abhī nā-tamām maiñ bhī abhī nā-tamām 
aah ki khoyā gayā tujh se faqīrī kā raaz 
varna hai māl-e-faqīr saltanat-e-rūm-o-shām"
"109","allama-iqbal","digar-gūñ hai jahāñ tāroñ kī gardish tez hai saaqī 
dil-e-har-zarra meñ ġhauġhā-e-rustā-ḳhez hai saaqī 
matā-e-dīn-o-dānish luT ga.ī allāh-vāloñ kī 
ye kis kāfir-adā kā ġhamza-e-ḳhūñ-rez hai saaqī 
vahī derīna bīmārī vahī nā-mohkamī dil kī 
ilaaj is kā vahī āb-e-nashāt-añgez hai saaqī 
haram ke dil meñ soz-e-ārzū paidā nahīñ hotā 
ki paidā.ī tirī ab tak hijāb-āmez hai saaqī 
na uTThā phir koī 'rūmī' ajam ke lāla-zāroñ se 
vahī āb-o-gil-e-īrāñ vahī tabrez hai saaqī 
nahīñ hai nā-umīd 'iqbāl' apnī kisht-e-vīrāñ se 
zarā nam ho to ye miTTī bahut zarḳhez hai saaqī 
faqīr-e-rāh ko baḳhshe ga.e asrār-e-sultānī 
bahā merī navā kī daulat-e-parvez hai saaqī"
"110","allama-iqbal","dil soz se ḳhālī hai nigah paak nahīñ hai 
phir is meñ ajab kyā ki tū bebāk nahīñ hai 
hai zauq-e-tajallī bhī isī ḳhaak meñ pinhāñ 
ġhāfil tū nirā sāhib-e-idrāk nahīñ hai 
vo aañkh ki hai surma-e-afrañg se raushan 
purkār o suḳhan-sāz hai namnāk nahīñ hai 
kyā suufī o mullā ko ḳhabar mere junūñ kī 
un kā sar-e-dāman bhī abhī chaak nahīñ hai 
kab tak rahe mahkūmi-e-anjum meñ mirī ḳhaak 
yā maiñ nahīñ yā gardish-e-aflāk nahīñ hai 
bijlī huuñ nazar koh o bayābāñ pe hai merī 
mere liye shāyāñ ḳhas-o-ḳhāshāk nahīñ hai 
aalam hai faqat momin-e-jāñ-bāz kī mīrās 
momin nahīñ jo sāhib-e-laulāk nahīñ hai"
"111","allama-iqbal","ejaaz hai kisī kā yā gardish-e-zamāna 
TuuTā hai asia meñ sehr-e-firañgiyāna 
tāmīr-e-āshiyāñ se maiñ ne ye raaz paayā 
ahl-e-navā ke haq meñ bijlī hai āshiyāna 
ye bandagī ḳhudā.ī vo bandagī gadā.ī 
yā banda-e-ḳhudā ban yā banda-e-zamāna 
ġhāfil na ho ḳhudī se kar apnī pāsbānī 
shāyad kisī haram kā tū bhī hai āstāna 
ai lā ilaah ke vāris baaqī nahīñ hai tujh meñ 
guftār-e-dilbarāna kirdār-e-qāhirāna 
terī nigāh se dil sīnoñ meñ kāñpte the 
khoyā gayā hai terā jazb-e-qalañdarāna 
rāz-e-haram se shāyad 'iqbāl' bā-ḳhabar hai 
haiñ is kī guftugū ke andāz mahramāna"
"112","allama-iqbal","fitrat ko ḳhirad ke rū-ba-rū kar 
tasḳhīr-e-maqām-e-rañg-o-bū kar 
tū apnī ḳhudī ko kho chukā hai 
khoī huī shai kī justujū kar 
tāroñ kī fazā hai be-karāna 
tū bhī ye maqām-e-ārzū kar 
uryāñ haiñ tire chaman kī hūreñ 
chāk-e-gul-o-lāla ko rafū kar 
be-zauq nahīñ agarche fitrat 
jo us se na ho sakā vo tū kar"
"113","allama-iqbal","gesū-e-tābdār ko aur bhī tābdār kar 
hosh o ḳhirad shikār kar qalb o nazar shikār kar 
ishq bhī ho hijāb meñ husn bhī ho hijāb meñ 
yā to ḳhud āshkār ho yā mujhe āshkār kar 
tū hai muhīt-e-be-karāñ maiñ huuñ zarā sī aabjū 
yā mujhe ham-kanār kar yā mujhe be-kanār kar 
maiñ huuñ sadaf to tere haath mere guhar kī aabrū 
maiñ huuñ ḳhazaf to tū mujhe gauhar-e-shāhvār kar 
naġhma-e-nau-bahār agar mere nasīb meñ na ho 
us dam-e-nīm-soz ko tā.irak-e-bahār kar 
bāġh-e-bahisht se mujhe hukm-e-safar diyā thā kyuuñ 
kār-e-jahāñ darāz hai ab mirā intizār kar 
roz-e-hisāb jab mirā pesh ho daftar-e-amal 
aap bhī sharmsār ho mujh ko bhī sharmsār kar"
"114","allama-iqbal","gulzār-e-hast-e-būd na begāna-vār dekh 
hai dekhne kī chiiz ise baar baar dekh 
aayā hai tū jahāñ meñ misāl-e-sharār dekh 
dam de na jaa.e hastī-e-nā-pā.edār dekh 
maanā ki terī diid ke qābil nahīñ huuñ maiñ 
tū merā shauq dekh mirā intizār dekh 
kholī haiñ zauq-e-dīd ne āñkheñ tirī agar 
har rahguzar meñ naqsh-e-kaf-e-pā-e-yār dekh"
"115","allama-iqbal","har shai musāfir har chiiz raahī 
kyā chāñd taare kyā murġh o maahī 
tū mard-e-maidāñ tū mīr-e-lashkar 
nuurī huzūrī tere sipāhī 
kuchh qadr apnī tū ne na jaanī 
ye be-savādī ye kam-nigāhī 
duniyā-e-dūñ kī kab tak ġhulāmī 
yā rāhebī kar yā pādshāhī 
pīr-e-haram ko dekhā hai maiñ ne 
kirdār-e-be-soz guftār vaahī"
"116","allama-iqbal","hazār ḳhauf ho lekin zabāñ ho dil kī rafīq 
yahī rahā hai azal se qalandaroñ kā tarīq 
hujūm kyuuñ hai ziyāda sharāb-ḳhāne meñ 
faqat ye baat ki pīr-e-muġhāñ hai mard-e-ḳhalīq 
ilāj-e-zof-e-yaqīñ in se ho nahīñ saktā 
ġharīb agarche haiñ 'rāzī' ke nukta-hā-e-daqīq 
murīd-e-sāda to ro ro ke ho gayā taa.ib 
ḳhudā kare ki mile shaiḳh ko bhī ye taufīq 
usī tilism-e-kuhan meñ asiir hai aadam 
baġhal meñ us kī haiñ ab tak butān-e-ahd-e-atīq 
mire liye to hai iqrār-e-bil-lisāñ bhī bahut 
hazār shukr ki mullā haiñ sāhib-e-tasdīq 
agar ho ishq to hai kufr bhī musalmānī 
na ho to mard-e-musalmāñ bhī kāfir o zindīq"
"117","allama-iqbal","ik dānish-e-nūrānī ik dānish-e-burhānī 
hai dānish-e-burhānī hairat kī farāvānī 
is paikar-e-ḳhākī meñ ik shai hai so vo terī 
mere liye mushkil hai is shai kī nigahbānī 
ab kyā jo fuġhāñ merī pahuñchī hai sitāroñ tak 
tū ne hī sikhā.ī thī mujh ko ye ġhazal-ḳhvānī 
ho naqsh agar bātil takrār se kyā hāsil 
kyā tujh ko ḳhush aatī hai aadam kī ye arzānī 
mujh ko to sikhā dī hai afrañg ne zindīqī 
is daur ke mullā haiñ kyuuñ nañg-e-musalmānī 
taqdīr shikan quvvat baaqī hai abhī is meñ 
nādāñ jise kahte haiñ taqdīr kā zindānī 
tere bhī sanam-ḳhāne mere bhī sanam-ḳhāne 
donoñ ke sanam ḳhākī donoñ ke sanam faanī"
"118","allama-iqbal","ishq se paidā navā-e-zindagī meñ zer-o-bam 
ishq se miTTī kī tasvīroñ meñ soz-e-dam-ba-dam 
aadmī ke reshe reshe meñ samā jaatā hai ishq 
shāḳh-e-gul meñ jis tarah bād-e-sahar-gāhī kā nam 
apne rāziq ko na pahchāne to muhtāj-e-mulūk 
aur pahchāne to haiñ tere gadā daarā o jam 
dil kī āzādī shahanshāhī shikam sāmān-e-maut 
faisla terā tire hāthoñ meñ hai dil yā shikam 
ai musalmāñ apne dil se pūchh mullā se na pūchh 
ho gayā allāh ke bandoñ se kyuuñ ḳhālī haram"
"119","allama-iqbal","jab ishq sikhātā hai ādāb-e-ḳhud-āgāhī 
khulte haiñ ġhulāmoñ par asrār-e-shahanshāhī 
'attār' ho 'rūmī' ho 'rāzī' ho 'ġhazālī' ho 
kuchh haath nahīñ aatā be-āh-e-sahar-gāhī 
naumīd na ho in se ai rahbar-e-farzāna 
kam-kosh to haiñ lekin be-zauq nahīñ raahī 
ai tā.ir-e-lāhautī us rizq se maut achchhī 
jis rizq se aatī ho parvāz meñ kotāhī 
daarā o sikandar se vo mard-e-faqīr aulā 
ho jis kī faqīrī meñ bū-e-asadul-lāhaī 
ā.īn-e-javāñ-mardāñ haq-goī o be-bākī 
allāh ke sheroñ ko aatī nahīñ rūbāhī"
"120","allama-iqbal","kabhī ai haqīqat-e-muntazar nazar aa libās-e-majāz meñ 
ki hazāroñ sajde taḌap rahe haiñ mirī jabīn-e-niyāz meñ 
tarab-āshnā-e-ḳharosh ho to navā hai mahram-e-gosh ho 
vo sarod kyā ki chhupā huā ho sukūt-e-parda-e-sāz meñ 
tū bachā bachā ke na rakh ise tirā aa.ina hai vo aa.ina 
ki shikasta ho to azīz-tar hai nigāh-e-ā.īna-sāz meñ 
dam-e-tauf kirmak-e-sham.a ne ye kahā ki vo asar-e-kuhan 
na tirī hikāyat-e-soz meñ na mirī hadīs-e-gudāz meñ 
na kahīñ jahāñ meñ amaañ milī jo amaañ milī to kahāñ milī 
mire jurm-e-ḳhāna-ḳharāb ko tire afv-e-banda-navāz meñ 
na vo ishq meñ rahīñ garmiyāñ na vo husn meñ rahīñ shoḳhiyāñ 
na vo ġhaznavī meñ taḌap rahī na vo ḳham hai zulf-e-ayāz maiñ 
maiñ jo sar-ba-sajdā huā kabhī to zamīñ se aane lagī sadā 
tirā dil to hai sanam-āshnā tujhe kyā milegā namāz meñ"
